x_m,y_m,w_tr_right_m,w_tr_left_m
24.276034957,2.298687755,0.457200000,0.457200000
24.301017177,2.298687755,0.457200000,0.457200000
24.325999396,2.298687755,0.457200000,0.457200000
24.350981616,2.298687755,0.457200000,0.457200000
24.375963835,2.298687755,0.457200000,0.457200000
24.400946055,2.298687755,0.457200000,0.457200000
24.425928274,2.298687755,0.457200000,0.457200000
24.450910494,2.298687755,0.457200000,0.457200000
24.475892713,2.298687755,0.457200000,0.457200000
24.500874933,2.298687755,0.457200000,0.457200000
24.525857152,2.298687755,0.457200000,0.457200000
24.550839372,2.298687755,0.457200000,0.457200000
24.575821591,2.298687755,0.457200000,0.457200000
24.600803811,2.298687755,0.457200000,0.457200000
24.625786030,2.298687755,0.457200000,0.457200000
24.650768250,2.298687755,0.457200000,0.457200000
24.675750469,2.298687755,0.457200000,0.457200000
24.700732689,2.298687755,0.457200000,0.457200000
24.725714908,2.298687755,0.457200000,0.457200000
24.750697128,2.298687755,0.457200000,0.457200000
24.775679347,2.298687755,0.457200000,0.457200000
24.800661567,2.298687755,0.457200000,0.457200000
24.825643786,2.298687755,0.457200000,0.457200000
24.850626006,2.298687755,0.457200000,0.457200000
24.875608225,2.298687755,0.457200000,0.457200000
24.900590445,2.298687755,0.457200000,0.457200000
24.925572664,2.298687755,0.457200000,0.457200000
24.950554884,2.298687755,0.457200000,0.457200000
24.975537103,2.298687755,0.457200000,0.457200000
25.000519323,2.298687755,0.457200000,0.457200000
25.025501542,2.298687755,0.457200000,0.457200000
25.050483762,2.298687755,0.457200000,0.457200000
25.075465981,2.298687755,0.457200000,0.457200000
25.100448201,2.298687755,0.457200000,0.457200000
25.125430420,2.298687755,0.457200000,0.457200000
25.150412640,2.298687755,0.457200000,0.457200000
25.175394859,2.298687755,0.457200000,0.457200000
25.200377079,2.298687755,0.457200000,0.457200000
25.225359298,2.298687755,0.457200000,0.457200000
25.250341518,2.298687755,0.457200000,0.457200000
25.275323738,2.298687755,0.457200000,0.457200000
25.300305957,2.298687755,0.457200000,0.457200000
25.325288177,2.298687755,0.457200000,0.457200000
25.350270396,2.298687755,0.457200000,0.457200000
25.375252616,2.298687755,0.457200000,0.457200000
25.400234835,2.298687755,0.457200000,0.457200000
25.425217055,2.298687755,0.457200000,0.457200000
25.450199274,2.298687755,0.457200000,0.457200000
25.475181494,2.298687755,0.457200000,0.457200000
25.500163713,2.298687755,0.457200000,0.457200000
25.525145933,2.298687755,0.457200000,0.457200000
25.550128152,2.298687755,0.457200000,0.457200000
25.575110372,2.298687755,0.457200000,0.457200000
